n data,t1,t2 
0,2.105e-05,2.382e-05
10,1.496e-05,2.52e-05
20,2.839e-05,5.837e-05
30,4.276e-05,8.723e-05
40,5.889e-05,0.00012333
50,7.873e-05,0.00016033
60,9.475e-05,0.00019785
70,0.00011057,0.00023423
80,0.00012828,0.0002782
90,0.0001489,0.00031281
100,0.00016758,0.00035203
110,0.00018493,0.00039427
120,0.00020409,0.00043397
130,0.00022809,0.00047783
140,0.00024565,0.00051969
150,0.00027005,0.00056075
160,0.00028319,0.0006083
170,0.00030757,0.00065729
180,0.00033046,0.00069136
190,0.00035186,0.00074742
200,0.00036851,0.00078195
210,0.0003985,0.00082967
220,0.00046731,0.00100742
230,0.00057524,0.00125649
240,0.00053661,0.00119381
250,0.00051285,0.00112356
260,0.00059368,0.00127615
270,0.00066613,0.00132083
280,0.0007132,0.0015009
290,0.0006942,0.00155984
300,0.00071153,0.00156454
310,0.00095069,0.00191993
320,0.00076886,0.00167547
330,0.0006618,0.00142254
340,0.00085639,0.00185396
350,0.00077066,0.00169744
360,0.0008348,0.00189784
370,0.00085918,0.0018618
380,0.00080265,0.00177006
390,0.00098236,0.00219033
400,0.00089485,0.00192976
410,0.00100298,0.00206141
420,0.00086863,0.00183408
430,0.00088344,0.00187865
440,0.0010886,0.00225951
450,0.00104376,0.00232846
460,0.00106442,0.00225277
470,0.0011883,0.00253601
480,0.00117456,0.00246618
490,0.00132695,0.0028525
500,0.00140032,0.00299152
510,0.00110554,0.00237575
520,0.00115984,0.00246879
530,0.00117912,0.00246823
540,0.0012176,0.00255897
550,0.00122283,0.00259049
560,0.00125633,0.00263937
570,0.00128305,0.00270819
580,0.00129876,0.00273219
590,0.00133143,0.00280181
600,0.00134628,0.00286632
610,0.00138743,0.00294751
620,0.00136681,0.00291528
630,0.00142243,0.0030476
640,0.00141657,0.00305649
650,0.00146605,0.00312702
660,0.00151275,0.00321333
670,0.00152158,0.00324717
680,0.00156026,0.00333429
690,0.00156835,0.00332747
700,0.00162592,0.00347137
710,0.00164791,0.00350169
720,0.00167184,0.00355391
730,0.0017179,0.00363139
740,0.00169972,0.0036272
750,0.00169738,0.00366192
760,0.00171908,0.00367154
770,0.00179652,0.00389531
780,0.00181292,0.00384341
790,0.00188983,0.00403418
800,0.00191502,0.0041116
810,0.00191613,0.00403389
820,0.00197886,0.00419413
830,0.00200824,0.00425813
840,0.00200647,0.00425597
850,0.00199229,0.00423293
860,0.00202043,0.00427458
870,0.00203229,0.0043278
880,0.00209591,0.00443862
890,0.00211312,0.00453125
900,0.00213304,0.00453344
910,0.00214806,0.00457732
920,0.00216858,0.00462715
930,0.00216225,0.00460629
940,0.00221449,0.00471903
950,0.00223997,0.00474929
960,0.00227692,0.00489243
970,0.00230346,0.00491687
980,0.00231425,0.00492832
990,0.0023281,0.0049922
1000,0.00233769,0.00500866
1010,0.00235951,0.00506213
1020,0.00243561,0.00522705
1030,0.0024191,0.0051805
1040,0.00244975,0.00524838
1050,0.00250435,0.00534728
1060,0.00256684,0.00548115
1070,0.00257508,0.00545595
1080,0.00262333,0.00554417
1090,0.00260487,0.00554988
1100,0.00267553,0.00567975
1110,0.00268941,0.00570185
1120,0.00272275,0.00578748
1130,0.00277012,0.00585114
1140,0.00279613,0.00592249
1150,0.0028006,0.00596894
1160,0.00283488,0.00601548
1170,0.00286271,0.00608419
1180,0.00287523,0.00612823
1190,0.00294354,0.00628764
1200,0.00291448,0.00623827
1210,0.00297696,0.00639183
1220,0.00298626,0.00637915
1230,0.00304355,0.00648826
1240,0.00307203,0.00656749
1250,0.00309062,0.00661348
1260,0.0031327,0.00669434
1270,0.00311216,0.00668177
1280,0.00315877,0.0068129
1290,0.00313954,0.00669723
1300,0.00320251,0.00689539
1310,0.00321273,0.00683143
1320,0.00327769,0.00695092
1330,0.00330531,0.00704511
1340,0.0033613,0.00714434
1350,0.0034358,0.00727727
1360,0.0034022,0.00725107
1370,0.00340183,0.00724564
1380,0.00338717,0.00723598
1390,0.00340899,0.00733474
1400,0.00348344,0.00743252
1410,0.00350994,0.00747644
1420,0.00358108,0.00761135
1430,0.00352878,0.00756102
1440,0.00355951,0.00761274
1450,0.00357968,0.00765524
1460,0.00370848,0.00787908
1470,0.0036506,0.00779191
1480,0.00369829,0.00783714
1490,0.00376924,0.00811755
1500,0.00372303,0.00800808
1510,0.0039089,0.00832935
1520,0.00410221,0.00886545
1530,0.00410065,0.0087375
1540,0.00371484,0.00799867
1550,0.00376292,0.00809818
1560,0.00379903,0.00815347
1570,0.00400322,0.00872089
1580,0.00411046,0.00886098
1590,0.00416105,0.00881859
1600,0.00429296,0.00915043
1610,0.00401754,0.00862089
1620,0.00404819,0.00865163
1630,0.00411786,0.00877389
1640,0.00411998,0.00873853
1650,0.00415425,0.00879515
1660,0.00446542,0.00949508
1670,0.00422833,0.00899514
1680,0.00426146,0.00911308
1690,0.00428091,0.00913957
1700,0.00434105,0.00923306
1710,0.00431098,0.00916601
1720,0.00439003,0.00931937
1730,0.00439746,0.00939027
1740,0.00450277,0.00963839
1750,0.00446827,0.009516
1760,0.00452576,0.00970819
1770,0.00449638,0.00963868
1780,0.00458074,0.00972919
1790,0.00453038,0.00968385
1800,0.00464721,0.00994106
1810,0.00478131,0.0101967
1820,0.00510971,0.0109993
1830,0.00519681,0.0110082
1840,0.00518193,0.0111866
1850,0.00484905,0.0103878
1860,0.00482454,0.0103377
1870,0.0048693,0.0104327
1880,0.00531744,0.0114986
1890,0.00534014,0.0113461
1900,0.00525303,0.011243
1910,0.00530328,0.0113924
1920,0.00525633,0.0112773
1930,0.00522817,0.0111772
1940,0.00522878,0.0112416
1950,0.00588444,0.0122338
1960,0.00510013,0.010932
1970,0.00513127,0.0109444
1980,0.00511705,0.0109169
1990,0.00510618,0.0109025
2000,0.00531256,0.0114004
2010,0.00565511,0.0120077
2020,0.00568707,0.0120883
2030,0.00544768,0.0116339
2040,0.00560044,0.012056
